date,close
0.11,-1
0.22,-1
0.33,-2
0.44,-2
0.55,-2
0.66,-2
0.77,-3
0.88,-3
0.99,-3
1.1,-4
1.2100000000000002,-4
1.3200000000000003,-3.75
1.4300000000000004,-3.75
1.5400000000000005,-4.75
1.6500000000000006,-4.5
1.7600000000000007,-4.25
1.8700000000000008,-4.0
1.9800000000000009,-5.0
2.0900000000000007,-6.0
2.2000000000000006,-6.0
2.3100000000000005,-6.0
2.4200000000000004,-6.0
2.5300000000000002,-6.0
2.64,-7.0
2.75,-6.75
2.86,-6.75
2.9699999999999998,-7.75
3.0799999999999996,-7.75
3.1899999999999995,-8.75
3.2999999999999994,-9.75
3.4099999999999993,-9.5
3.519999999999999,-10.5
3.629999999999999,-10.5
3.739999999999999,-10.25
3.8499999999999988,-11.25
3.9599999999999986,-12.25
4.0699999999999985,-13.25
4.179999999999999,-14.25
4.289999999999999,-14.25
4.3999999999999995,-15.25
4.51,-15.0
